"","Sexo","Educ","cargo","Sal"
"201","masc","sec","gerencial","18.74"
"202","masc","prim","outro","3.6"
"203","fem","terc","gerencial","21.55"
"204","masc","sec","outro","9.09"
"205","masc","terc","gerencial","24.76"
"206","masc","prim","outro","5.98"
"207","fem","prim","outro","4.35"
"208","masc","sec","outro","7.23"
"209","masc","sec","outro","7.26"
"210","masc","sec","outro","8.15"
"211","masc","prim","outro","4.68"
"212","fem","terc","gerencial","21.29"
"213","masc","sec","outro","8.05"
"214","masc","prim","outro","2.56"
"215","fem","sec","outro","10.14"
"216","masc","prim","outro","3.65"
"217","fem","sec","outro","7.42"
"218","fem","sec","outro","9.72"
"219","masc","prim","outro","1.94"
"220","masc","sec","outro","8.55"
"221","masc","terc","gerencial","20.05"
"222","fem","sec","outro","9.87"
"223","fem","terc","gerencial","19.91"
"224","masc","prim","outro","4.08"
"225","masc","sec","outro","6.42"
"226","masc","sec","outro","5.85"
"227","masc","sec","outro","8.8"
"228","masc","terc","gerencial","24.21"
"229","masc","sec","outro","6.58"
"230","masc","sec","outro","7.6"
"231","masc","sec","outro","6.73"
"232","masc","terc","gerencial","23.18"
"233","fem","sec","outro","8.85"
"234","masc","prim","outro","4.89"
"235","masc","sec","outro","8.71"
"236","masc","sec","outro","17.71"
"237","masc","sec","outro","6.6"
"238","masc","terc","gerencial","23.5"
"239","masc","terc","gerencial","24.5"
"240","fem","prim","outro","6.4"
"241","masc","prim","outro","3.83"
"242","masc","prim","outro","4.46"
"243","fem","prim","outro","4.05"
"244","fem","sec","outro","8.85"
"245","masc","prim","outro","2.46"
"246","masc","prim","outro","4.31"
"247","masc","sec","outro","7.44"
"248","masc","prim","outro","2.26"
